,file_sizes
1473,614899
1474,559412
1475,191678
1476,26133817
1477,592844
1478,26639016
1479,15364
1480,46836
1481,40138
1482,38524
1483,34506
1484,28031
1485,27362
1486,22579
1487,19235
1488,17794
1489,18033
1490,15237
1491,14182
1492,23219
1493,18435
1494,18075
1495,14713
1496,11486
1497,10995
1498,18051
1499,13100
1500,13100
1501,18674
1502,14483
1503,14047
1504,40055
1505,31845
1506,31429
1507,14256
1508,12230
1509,10742
1510,23218
1511,19490
1512,18817
1513,10668
1514,33819
1515,27761
1516,27396
1517,34762
1518,27779
1519,27423
1520,154776
1521,2678750
1522,186834
1523,13858
1524,18067
1525,10904
1526,11005
1527,17129
1528,31415
1529,18908
1530,26828
1531,12292
1532,135436
1533,156206
1534,23062
1535,24442
1536,145094
1537,128318
1538,21044
1539,21541
1540,136578
1541,85784
1542,96006
1543,12292
1544,31013
1545,23923
1546,29237
1547,22978
1548,34569
1549,27906
1550,28624
1551,21975
1552,29457
1553,24611
1554,12222
1555,10847
1556,11067
1557,14793
1558,12309
1559,11382
1560,14858
1561,173634
1562,146990
1563,237770
1564,287452
1565,12292
1566,265214
1567,138720
1568,126938
1569,473620
1570,331860
1571,247128
1572,21071
1573,443528
1574,241206
1575,285562
1576,127482
1577,473620
1578,326748
1579,196438
1580,13858
1581,18067
1582,10904
1583,11005
1584,17129
1585,25422
1586,31415
1587,21441
1588,18908
1589,26828
1590,521516
1591,98355
1592,29667
1593,36102
1594,219842
1595,48949
1596,52026
1597,83191
1598,84678
1599,51056
1600,36717
1601,21992
1602,36565
1603,24358
1604,22421
1605,24959
1606,22729
1607,30133
1608,27922
1609,28261
1610,31365
1611,30652
1612,30385
1613,27949
1614,22448
1615,30679
1616,30160
1617,24385
1618,31392
1619,22756
1620,30412
1621,28288
1622,24986
1623,65932
1624,58716
1625,63208
1626,63684
1627,49052
1628,55032
1629,54508
1630,49224
1631,60280
1632,58736
1633,14976
1634,14010
1635,20992
1636,1234555
1637,15360
1638,40917
1639,26375
1640,181551
1641,445977
1642,118519
1643,142441
1644,432265
1645,133374
1646,244763
1647,438731
1648,308724
1649,25706
1650,24492
1651,25571
1652,20814
1653,190583
1654,91642
1655,4366629
1656,305335
1657,12682
1658,12413
1659,65822
1660,34902
1661,21508
1662,28972
1663,29567
1664,15470
1665,10137
1666,31982
1667,10084
1668,12980
1669,60660
1670,15693
1671,14186
1672,15123
1673,46118
1674,18584
1675,14272
1676,23665
1677,13499
1678,73139
1679,12604
1680,20496
1681,57604
1682,10656
1683,19013
1684,28169
1685,10630
1686,16574
1687,18713
1688,19224
1689,39026
1690,24439
1691,34259
1692,15895
1693,14556
1694,16818
1695,48246
1696,16760
1697,11332
1698,17680
1699,21998
1700,59912
1701,13880
1702,34918
1703,12066
1704,11897
1705,15490
1706,10840
1707,11916
1708,27136
1709,13101
1710,53768
1711,17914
1712,55462
1713,542405
1714,573043
1715,597307
1716,478765
1717,128797
1718,684548
1719,497499
1720,714360
1721,410787
1722,88203
1723,23040
1724,37376
1725,1362369
1726,19387478
1727,237992
1728,15038886
1729,6755396
1730,20636
1731,53292
1732,484850
1733,69955
1734,68859
1735,46456
1736,19016
1737,38517
1738,51274
1739,270117
1740,3720004
1741,11175041
1742,11444385
1743,1105885
1744,1879654
