time,angle
11.115,-5.273
11.131,-5.625
11.146,-5.977
11.162,-11.953
11.179,-11.426
11.195,-11.777
11.211,-14.062
11.229,-17.227
11.245,-17.402
11.262,-17.930
11.278,-22.852
11.295,-22.852
11.312,-24.082
11.328,-25.488
11.345,-26.016
11.362,-27.773
11.378,-27.949
11.395,-28.652
11.411,-30.410
11.429,-30.586
11.445,-30.937
11.461,-31.289
11.478,-31.816
11.495,-32.168
11.511,-32.344
11.528,-32.520
11.544,-32.520
11.562,-32.520
11.578,-32.520
11.594,-32.344
11.611,-31.992
11.628,-31.465
11.645,-30.762
11.661,-30.410
11.677,-29.883
11.695,-27.598
11.711,-27.422
11.728,-25.137
11.744,-24.961
11.761,-23.555
11.778,-21.621
11.794,-21.270
11.810,-19.863
11.828,-16.172
11.844,-15.996
11.861,-15.117
11.877,-10.898
11.894,-10.195
11.911,-9.668
11.926,-4.922
11.942,-3.691
11.958,-3.516
11.973,-3.164
11.989,4.219
12.003,3.516
12.017,4.395
12.033,6.328
12.047,6.680
12.061,7.207
12.076,13.008
12.092,13.184
12.107,13.184
12.123,13.535
12.138,15.469
12.154,18.633
12.170,18.809
12.185,19.160
12.201,19.863
12.216,24.082
12.232,23.906
12.248,24.082
12.263,24.258
12.278,24.434
12.295,25.664
12.310,28.477
12.326,28.477
12.341,28.652
12.357,28.652
12.373,28.652
12.388,28.652
12.403,28.652
12.419,28.652
12.435,28.652
12.450,28.652
12.466,28.652
12.481,28.477
12.498,28.301
12.513,27.949
12.528,27.246
12.544,25.840
12.560,23.730
12.575,23.730
12.591,23.555
12.606,22.676
12.621,18.633
12.638,18.281
12.653,18.105
12.669,17.754
12.684,15.645
12.700,12.480
12.716,11.426
12.731,11.074
12.746,10.020
12.763,4.219
12.777,2.988
12.791,2.461
12.806,1.055
12.820,0.352
12.835,-2.812
12.851,-5.098
12.866,-5.449
12.882,-5.801
